county,date,product,marketshare,sales,population
Baker,11/1/2021,Edible/Tincture,11.63,34592.68,16860
Baker,11/1/2021,Industrial Hemp Commodity/Product,0.09,265.98,16860
Baker,11/1/2021,Inhalable Product with Non-Cannabis Additives,7.44,22435.9,16860
Baker,11/1/2021,Other,7.51,21893.87,16860
Baker,11/1/2021,Usable MJ,51.19,126828.64,16860
Baker,1/1/2017,Concentrate/Extract,26.35,121083.1,16860
Baker,1/1/2017,Edible/Tincture,3.9,19969.1,16860
Baker,1/1/2017,Other,0.45,2271.5,16860
Baker,1/1/2017,Usable MJ,69.31,355079.55,16860
Baker,1/1/2018,Concentrate/Extract,39.07,693997.68,16860
Baker,1/1/2018,Edible/Tincture,6.9,124112.38,16860
Baker,1/1/2018,Other,1.46,25497.25,16860
Baker,1/1/2018,Usable MJ,52.57,945153.61,16860
Baker,1/1/2019,Concentrate/Extract,21.75,625167.42,16860
Baker,1/1/2019,Edible/Tincture,7.38,214375.11,16860
Baker,1/1/2019,Industrial Hemp Commodity/Product,1.77,51344.67,16860
Baker,1/1/2019,Other,20.61,597135.54,16860
Baker,1/1/2019,Usable MJ,48.48,1407380.09,16860
Baker,1/1/2020,Concentrate/Extract,28.69,164493.24,16860
Baker,1/1/2020,Edible/Tincture,7.46,43304.19,16860
Baker,1/1/2020,Industrial Hemp Commodity/Product,0.48,2831.58,16860
Baker,1/1/2020,Other,6.63,38544.99,16860
Baker,1/1/2020,Usable MJ,56.74,312076.76,16860
Baker,1/1/2021,Concentrate/Extract,24.7,104153.02,16860
Baker,1/1/2021,Edible/Tincture,9.39,39844.05,16860
Baker,1/1/2021,Industrial Hemp Commodity/Product,0.2,869.06,16860
Baker,1/1/2021,Other,13.19,56068.72,16860
Baker,1/1/2021,Usable MJ,52.52,197514.41,16860
Baker,1/1/2022,Concentrate/Extract,22.04,56436.97,16860
Baker,1/1/2022,Edible/Tincture,10.48,27482.44,16860
Baker,1/1/2022,Industrial Hemp Commodity/Product,0.08,199.97,16860
Baker,1/1/2022,Inhalable Product with Non-Cannabis Additives,6.48,17262.3,16860
Baker,1/1/2022,Other,7.33,19016.85,16860
Baker,1/1/2022,Usable MJ,53.6,118733.66,16860
Baker,12/1/2016,Concentrate/Extract,6.96,15528.06,16860
Baker,12/1/2016,Edible/Tincture,2.93,6634.99,16860
Baker,12/1/2016,Other,0.24,550,16860
Baker,12/1/2016,Usable MJ,89.87,203565.86,16860
Baker,12/1/2017,Concentrate/Extract,38.46,665071.7,16860
Baker,12/1/2017,Edible/Tincture,7.18,126113.8,16860
Baker,12/1/2017,Other,1.7,28840.02,16860
Baker,12/1/2017,Usable MJ,52.66,920272.59,16860
Baker,12/1/2018,Concentrate/Extract,18.86,498254,16860
Baker,12/1/2018,Edible/Tincture,7.18,200617.75,16860
Baker,12/1/2018,Industrial Hemp Commodity/Product,1.89,52408.16,16860
Baker,12/1/2018,Other,23.1,638814.49,16860
Baker,12/1/2018,Usable MJ,48.97,1363078.91,16860
Baker,12/1/2019,Concentrate/Extract,28.31,175986.92,16860
Baker,12/1/2019,Edible/Tincture,7.89,49998.26,16860
Baker,12/1/2019,Industrial Hemp Commodity/Product,0.48,3099.72,16860
Baker,12/1/2019,Other,6.18,39240.51,16860
Baker,12/1/2019,Usable MJ,57.14,339544.02,16860
Baker,12/1/2020,Concentrate/Extract,24.27,98621.43,16860
Baker,12/1/2020,Edible/Tincture,9.88,40486.29,16860
Baker,12/1/2020,Industrial Hemp Commodity/Product,0.23,966.57,16860
Baker,12/1/2020,Other,12.16,50465.08,16860
Baker,12/1/2020,Usable MJ,53.46,196815.98,16860
Baker,12/1/2021,Concentrate/Extract,22.52,59270.65,16860
Baker,12/1/2021,Edible/Tincture,10.69,28853.11,16860
Baker,12/1/2021,Industrial Hemp Commodity/Product,0.09,248.72,16860
Baker,12/1/2021,Inhalable Product with Non-Cannabis Additives,6.8,18511.15,16860
Baker,12/1/2021,Other,7.01,18901.28,16860
Baker,12/1/2021,Usable MJ,52.88,118813.37,16860
Baker,2/1/2017,Concentrate/Extract,29.54,197881.53,16860
Baker,2/1/2017,Edible/Tincture,4.58,32874.6,16860
Baker,2/1/2017,Other,0.77,5308.6,16860
Baker,2/1/2017,Usable MJ,65.11,468541.04,16860
Baker,2/1/2018,Concentrate/Extract,39.69,707480.25,16860
Baker,2/1/2018,Edible/Tincture,7.2,130423.62,16860
Baker,2/1/2018,Industrial Hemp Commodity/Product,0,45,16860
Baker,2/1/2018,Other,1.68,26852.2,16860
Baker,2/1/2018,Usable MJ,51.43,929746.66,16860
Baker,2/1/2019,Concentrate/Extract,19.8,516243.64,16860
Baker,2/1/2019,Edible/Tincture,6.78,187679.53,16860
Baker,2/1/2019,Industrial Hemp Commodity/Product,1.7,46949.58,16860
Baker,2/1/2019,Other,22.82,628921.59,16860
Baker,2/1/2019,Usable MJ,48.91,1352722.89,16860
Baker,2/1/2020,Concentrate/Extract,28.97,172997.24,16860
Baker,2/1/2020,Edible/Tincture,8.18,49314.35,16860
Baker,2/1/2020,Industrial Hemp Commodity/Product,0.49,2970.29,16860
Baker,2/1/2020,Other,7.02,42574.54,16860
Baker,2/1/2020,Usable MJ,55.34,305352.24,16860
Baker,2/1/2021,Concentrate/Extract,23.64,78553.81,16860
Baker,2/1/2021,Edible/Tincture,9.97,34135.51,16860
Baker,2/1/2021,Industrial Hemp Commodity/Product,0.2,684.68,16860
Baker,2/1/2021,Other,13.13,44730.72,16860
Baker,2/1/2021,Usable MJ,53.06,159830.03,16860
Baker,2/1/2022,Concentrate/Extract,23.46,58705.32,16860
Baker,2/1/2022,Edible/Tincture,11.27,28875.01,16860
Baker,2/1/2022,Industrial Hemp Commodity/Product,0.04,99.86,16860
Baker,2/1/2022,Inhalable Product with Non-Cannabis Additives,5.94,15315.64,16860
Baker,2/1/2022,Other,6.88,17776.1,16860
Baker,2/1/2022,Usable MJ,52.42,113559.39,16860
Baker,3/1/2017,Concentrate/Extract,32.4,273579.31,16860
Baker,3/1/2017,Edible/Tincture,5.61,53310.25,16860
Baker,3/1/2017,Other,0.74,6903.8,16860
Baker,3/1/2017,Usable MJ,61.24,581707.66,16860
Baker,3/1/2018,Concentrate/Extract,38.98,855191.52,16860
Baker,3/1/2018,Edible/Tincture,7.76,174061.69,16860
Baker,3/1/2018,Industrial Hemp Commodity/Product,0.08,1659.24,16860
Baker,3/1/2018,Other,2.71,48444.83,16860
Baker,3/1/2018,Usable MJ,50.47,1130361.71,16860
Baker,3/1/2019,Concentrate/Extract,24.61,820781.99,16860
Baker,3/1/2019,Edible/Tincture,7.16,245768.39,16860
Baker,3/1/2019,Industrial Hemp Commodity/Product,1.49,51087.9,16860
Baker,3/1/2019,Other,18.81,640303.62,16860
Baker,3/1/2019,Usable MJ,47.93,1638641.64,16860
Baker,3/1/2020,Concentrate/Extract,26.44,192879.49,16860
Baker,3/1/2020,Edible/Tincture,7.94,58800.19,16860
Baker,3/1/2020,Industrial Hemp Commodity/Product,0.39,2873.91,16860
Baker,3/1/2020,Other,7.76,57167.22,16860
Baker,3/1/2020,Usable MJ,57.46,391155.16,16860
Baker,3/1/2021,Concentrate/Extract,23.04,105858.04,16860
Baker,3/1/2021,Edible/Tincture,9.99,47565.28,16860
Baker,3/1/2021,Industrial Hemp Commodity/Product,0.16,779.26,16860
Baker,3/1/2021,Other,15.73,74433.47,16860
Baker,3/1/2021,Usable MJ,51.08,210220.19,16860
Baker,3/1/2022,Concentrate/Extract,22.99,65903.99,16860
Baker,3/1/2022,Edible/Tincture,12.04,35195.09,16860
Baker,3/1/2022,Industrial Hemp Commodity/Product,0.09,251.48,16860
Baker,3/1/2022,Inhalable Product with Non-Cannabis Additives,5.52,16304.61,16860
Baker,3/1/2022,Other,6.48,18593.64,16860
Baker,3/1/2022,Usable MJ,52.88,130293.24,16860
Baker,4/1/2017,Concentrate/Extract,31.9,277318.87,16860
Baker,4/1/2017,Edible/Tincture,6.37,64396.52,16860
Baker,4/1/2017,Other,0.81,7955.4,16860
Baker,4/1/2017,Usable MJ,60.92,622873.74,16860
Baker,4/1/2018,Concentrate/Extract,38.33,760443.49,16860
Baker,4/1/2018,Edible/Tincture,8.65,176579.58,16860
Baker,4/1/2018,Industrial Hemp Commodity/Product,0.41,8191.03,16860
Baker,4/1/2018,Other,3.23,55974.29,16860
Baker,4/1/2018,Usable MJ,49.39,1009220.17,16860
Baker,4/1/2019,Concentrate/Extract,33.26,1044354.51,16860
Baker,4/1/2019,Edible/Tincture,7.09,225317.65,16860
Baker,4/1/2019,Industrial Hemp Commodity/Product,1.22,39062.32,16860
Baker,4/1/2019,Other,9.54,302607.98,16860
Baker,4/1/2019,Usable MJ,48.89,1519093.75,16860
Baker,4/1/2020,Concentrate/Extract,27.16,230128.18,16860
Baker,4/1/2020,Edible/Tincture,7.58,64989.11,16860
Baker,4/1/2020,Industrial Hemp Commodity/Product,0.27,2371.98,16860
Baker,4/1/2020,Other,7.76,66321.24,16860
Baker,4/1/2020,Usable MJ,57.24,446353.13,16860
Baker,4/1/2021,Concentrate/Extract,21.16,95489.83,16860
Baker,4/1/2021,Edible/Tincture,10.49,48952.41,16860
Baker,4/1/2021,Industrial Hemp Commodity/Product,0.23,1079.44,16860
Baker,4/1/2021,Inhalable Product with Non-Cannabis Additives,7.14,33654.02,16860
Baker,4/1/2021,Other,7.37,34189.41,16860
Baker,4/1/2021,Usable MJ,53.6,214601.12,16860
Baker,4/1/2022,Concentrate/Extract,22.59,63136.72,16860
Baker,4/1/2022,Edible/Tincture,11.81,34021.72,16860
Baker,4/1/2022,Industrial Hemp Commodity/Product,0.19,561.52,16860
Baker,4/1/2022,Inhalable Product with Non-Cannabis Additives,6.64,19220.35,16860
Baker,4/1/2022,Other,6.12,17529.95,16860
Baker,4/1/2022,Usable MJ,52.65,125418.37,16860
Baker,5/1/2017,Concentrate/Extract,31.65,312164.27,16860
Baker,5/1/2017,Edible/Tincture,7.02,84820.95,16860
Baker,5/1/2017,Other,1.19,13828.34,16860
Baker,5/1/2017,Usable MJ,60.14,722936.83,16860
Baker,5/1/2018,Concentrate/Extract,38.24,873920.06,16860
Baker,5/1/2018,Edible/Tincture,8.58,201438.44,16860
Baker,5/1/2018,Industrial Hemp Commodity/Product,1.48,35001.83,16860
Baker,5/1/2018,Other,3.23,68265.15,16860
Baker,5/1/2018,Usable MJ,48.47,1132196.29,16860
Baker,5/1/2019,Concentrate/Extract,34.89,1175725.3,16860
Baker,5/1/2019,Edible/Tincture,7.21,251688.82,16860
Baker,5/1/2019,Industrial Hemp Commodity/Product,1.11,38599.62,16860
Baker,5/1/2019,Other,7.72,268562.96,16860
Baker,5/1/2019,Usable MJ,49.07,1602903.14,16860
Baker,5/1/2020,Concentrate/Extract,25.13,231958.71,16860
Baker,5/1/2020,Edible/Tincture,8.41,78895.98,16860
Baker,5/1/2020,Industrial Hemp Commodity/Product,0.2,1879.68,16860
Baker,5/1/2020,Other,8.24,77798.32,16860
Baker,5/1/2020,Usable MJ,58.03,492686.79,16860
Baker,5/1/2021,Concentrate/Extract,20.56,90118.43,16860
Baker,5/1/2021,Edible/Tincture,11.7,53993.45,16860
Baker,5/1/2021,Industrial Hemp Commodity/Product,0.17,735.06,16860
Baker,5/1/2021,Inhalable Product with Non-Cannabis Additives,7.52,34655.09,16860
Baker,5/1/2021,Other,6.93,31571.47,16860
Baker,5/1/2021,Usable MJ,53.12,204679.57,16860
Baker,6/1/2017,Concentrate/Extract,31.68,362814.64,16860
Baker,6/1/2017,Edible/Tincture,7.25,92728.7,16860
Baker,6/1/2017,Other,1.19,15030.95,16860
Baker,6/1/2017,Usable MJ,59.88,770455.67,16860
Baker,6/1/2018,Concentrate/Extract,39.42,949396.06,16860
Baker,6/1/2018,Edible/Tincture,8.3,207974.89,16860
Baker,6/1/2018,Industrial Hemp Commodity/Product,1.39,35121,16860
Baker,6/1/2018,Other,2.75,64485.61,16860
Baker,6/1/2018,Usable MJ,48.15,1202021.42,16860
Baker,6/1/2019,Concentrate/Extract,34.26,1148886.9,16860
Baker,6/1/2019,Edible/Tincture,7.35,254035.73,16860
Baker,6/1/2019,Industrial Hemp Commodity/Product,0.71,24421.47,16860
Baker,6/1/2019,Other,7.45,257010.27,16860
Baker,6/1/2019,Usable MJ,50.24,1614572.26,16860
Baker,6/1/2020,Concentrate/Extract,23.36,167149.06,16860
Baker,6/1/2020,Edible/Tincture,8.65,62875.59,16860
Baker,6/1/2020,Industrial Hemp Commodity/Product,0.22,1645.53,16860
Baker,6/1/2020,Other,9.51,68889.79,16860
Baker,6/1/2020,Usable MJ,58.25,386052.99,16860
Baker,6/1/2021,Concentrate/Extract,18.93,72954.31,16860
Baker,6/1/2021,Edible/Tincture,10.71,43484.3,16860
Baker,6/1/2021,Industrial Hemp Commodity/Product,0.18,732.78,16860
Baker,6/1/2021,Inhalable Product with Non-Cannabis Additives,9.64,39267.27,16860
Baker,6/1/2021,Other,6.77,27406.93,16860
Baker,6/1/2021,Usable MJ,53.78,185525.37,16860
Baker,7/1/2017,Concentrate/Extract,31.85,370078.61,16860
Baker,7/1/2017,Edible/Tincture,6.98,95352.2,16860
Baker,7/1/2017,Other,1.29,16969.1,16860
Baker,7/1/2017,Usable MJ,59.88,811210.69,16860
Baker,7/1/2018,Concentrate/Extract,38.28,950578.75,16860
Baker,7/1/2018,Edible/Tincture,8.26,210181.89,16860
Baker,7/1/2018,Industrial Hemp Commodity/Product,1.4,36008.17,16860
Baker,7/1/2018,Other,2.65,67179.82,16860
Baker,7/1/2018,Usable MJ,49.4,1257115.16,16860
Baker,7/1/2019,Concentrate/Extract,33.1,1174508.77,16860
Baker,7/1/2019,Edible/Tincture,7.03,252632.6,16860
Baker,7/1/2019,Industrial Hemp Commodity/Product,0.73,26353.75,16860
Baker,7/1/2019,Other,6.99,251187.15,16860
Baker,7/1/2019,Usable MJ,52.15,1745437.07,16860
Baker,7/1/2020,Concentrate/Extract,23.54,169105.3,16860
Baker,7/1/2020,Edible/Tincture,9.84,71747.18,16860
Baker,7/1/2020,Industrial Hemp Commodity/Product,0.29,2177.1,16860
Baker,7/1/2020,Other,9.55,69398.01,16860
Baker,7/1/2020,Usable MJ,56.77,364432.71,16860
Baker,7/1/2021,Concentrate/Extract,20.98,84787.58,16860
Baker,7/1/2021,Edible/Tincture,11.4,47636.41,16860
Baker,7/1/2021,Industrial Hemp Commodity/Product,0.19,807.64,16860
Baker,7/1/2021,Inhalable Product with Non-Cannabis Additives,7.45,31444.32,16860
Baker,7/1/2021,Other,7.13,29520.99,16860
Baker,7/1/2021,Usable MJ,52.86,184946.37,16860
Baker,8/1/2017,Concentrate/Extract,31.56,476785.87,16860
Baker,8/1/2017,Edible/Tincture,6.63,110799.52,16860
Baker,8/1/2017,Other,1.3,19901.41,16860
Baker,8/1/2017,Usable MJ,60.5,1004943.21,16860
Baker,8/1/2018,Concentrate/Extract,36.73,1001179.74,16860
Baker,8/1/2018,Edible/Tincture,7.57,210991.39,16860
Baker,8/1/2018,Industrial Hemp Commodity/Product,1.48,41540.66,16860
Baker,8/1/2018,Other,5.03,139457.11,16860
Baker,8/1/2018,Usable MJ,49.19,1364535.13,16860
Baker,8/1/2019,Concentrate/Extract,32.15,823482.79,16860
Baker,8/1/2019,Edible/Tincture,7.18,185275.04,16860
Baker,8/1/2019,Industrial Hemp Commodity/Product,0.68,17440.34,16860
Baker,8/1/2019,Other,6.18,159470.18,16860
Baker,8/1/2019,Usable MJ,53.81,1298533.1,16860
Baker,8/1/2020,Concentrate/Extract,23.48,150453.1,16860
Baker,8/1/2020,Edible/Tincture,9.6,61963.51,16860
Baker,8/1/2020,Industrial Hemp Commodity/Product,0.24,1598.43,16860
Baker,8/1/2020,Other,9.27,60157.22,16860
Baker,8/1/2020,Usable MJ,57.4,327983.68,16860
Baker,8/1/2021,Concentrate/Extract,21.76,83109.74,16860
Baker,8/1/2021,Edible/Tincture,11.12,43957.55,16860
Baker,8/1/2021,Industrial Hemp Commodity/Product,0.07,285.23,16860
Baker,8/1/2021,Inhalable Product with Non-Cannabis Additives,5.95,23431.29,16860
Baker,8/1/2021,Other,7.49,29161.35,16860
Baker,8/1/2021,Usable MJ,53.61,176586.38,16860
Baker,9/1/2017,Concentrate/Extract,32.17,583023.62,16860
Baker,9/1/2017,Edible/Tincture,6.52,122619.24,16860
Baker,9/1/2017,Other,1.09,20201.54,16860
Baker,9/1/2017,Usable MJ,60.22,1127392.85,16860
Baker,9/1/2018,Concentrate/Extract,28.55,763364.76,16860
Baker,9/1/2018,Edible/Tincture,8.1,220571.05,16860
Baker,9/1/2018,Industrial Hemp Commodity/Product,1.64,44696.88,16860
Baker,9/1/2018,Other,12.81,346911.01,16860
Baker,9/1/2018,Usable MJ,48.89,1328221.04,16860
Baker,9/1/2019,Concentrate/Extract,28.4,519578.22,16860
Baker,9/1/2019,Edible/Tincture,7.72,140818.66,16860
Baker,9/1/2019,Industrial Hemp Commodity/Product,0.65,12068.32,16860
Baker,9/1/2019,Other,6.15,113651.21,16860
Baker,9/1/2019,Usable MJ,57.09,978165.67,16860
Baker,9/1/2020,Concentrate/Extract,23.42,141222.16,16860
Baker,9/1/2020,Edible/Tincture,9.43,57740.98,16860
Baker,9/1/2020,Industrial Hemp Commodity/Product,0.33,2025.24,16860
Baker,9/1/2020,Other,9.45,56607.72,16860
Baker,9/1/2020,Usable MJ,57.35,306234.64,16860
Baker,9/1/2021,Concentrate/Extract,21.33,84794.17,16860
Baker,9/1/2021,Edible/Tincture,12.2,49556,16860
Baker,9/1/2021,Industrial Hemp Commodity/Product,0.2,848.61,16860
Baker,9/1/2021,Inhalable Product with Non-Cannabis Additives,6.6,27282.22,16860
Baker,9/1/2021,Other,7.17,28434.85,16860
Baker,9/1/2021,Usable MJ,52.5,177586.48,16860
Benton,10/1/2017,Concentrate/Extract,25.91,195369.75,93976
Benton,10/1/2017,Edible/Tincture,8.8,74670.06,93976
Benton,10/1/2017,Other,1.73,13364.79,93976
Benton,10/1/2017,Usable MJ,63.56,533561.7,93976
Benton,10/1/2018,Concentrate/Extract,27.35,225414.35,93976
Benton,10/1/2018,Edible/Tincture,10.34,89633.07,93976
Benton,10/1/2018,Industrial Hemp Commodity/Product,1.01,8574.08,93976
Benton,10/1/2018,Other,6.6,57142.6,93976
Benton,10/1/2018,Usable MJ,54.71,482591.96,93976
Benton,10/1/2019,Concentrate/Extract,24.9,225937.32,93976
Benton,10/1/2019,Edible/Tincture,10.38,97787.12,93976
Benton,10/1/2019,Industrial Hemp Commodity/Product,0.76,7362.75,93976
Benton,10/1/2019,Other,5.25,48111.91,93976
Benton,10/1/2019,Usable MJ,58.72,448569.16,93976
Benton,10/1/2020,Concentrate/Extract,28.23,330712.18,93976
Benton,10/1/2020,Edible/Tincture,10.92,129185.01,93976
Benton,10/1/2020,Industrial Hemp Commodity/Product,0.4,4558.68,93976
Benton,10/1/2020,Other,4.03,44858.89,93976
Benton,10/1/2020,Usable MJ,56.42,545582.84,93976
Benton,10/1/2021,Concentrate/Extract,26.13,331658.3,93976
Benton,10/1/2021,Edible/Tincture,12.21,157338.45,93976
Benton,10/1/2021,Industrial Hemp Commodity/Product,0.45,6026.32,93976
Benton,10/1/2021,Inhalable Product with Non-Cannabis Additives,4.56,59403.68,93976
Benton,10/1/2021,Other,4.17,54089.4,93976
Benton,10/1/2021,Usable MJ,52.48,532074.95,93976
Benton,11/1/2017,Concentrate/Extract,26.45,171331.29,93976
Benton,11/1/2017,Edible/Tincture,9.59,70850.19,93976
Benton,11/1/2017,Other,1.68,11351.7,93976
Benton,11/1/2017,Usable MJ,62.28,466991.03,93976
Benton,11/1/2018,Concentrate/Extract,27.79,218094.08,93976
Benton,11/1/2018,Edible/Tincture,11.15,92892.46,93976
Benton,11/1/2018,Industrial Hemp Commodity/Product,1.18,9863.26,93976
Benton,11/1/2018,Other,9.07,73146.54,93976
Benton,11/1/2018,Usable MJ,50.81,423665.9,93976
Benton,11/1/2019,Concentrate/Extract,26.73,233377.85,93976
Benton,11/1/2019,Edible/Tincture,10.92,99003.78,93976
Benton,11/1/2019,Industrial Hemp Commodity/Product,0.57,5214.29,93976
Benton,11/1/2019,Other,3.56,31877.97,93976
Benton,11/1/2019,Usable MJ,58.22,435524.55,93976
Benton,11/1/2020,Concentrate/Extract,28.58,304901.04,93976
Benton,11/1/2020,Edible/Tincture,11.55,124404.69,93976
Benton,11/1/2020,Industrial Hemp Commodity/Product,0.4,4293.08,93976
Benton,11/1/2020,Other,4.5,46451.07,93976
Benton,11/1/2020,Usable MJ,54.96,487760.7,93976
Benton,11/1/2021,Concentrate/Extract,26.68,313615.59,93976
Benton,11/1/2021,Edible/Tincture,13.51,158344.04,93976
Benton,11/1/2021,Industrial Hemp Commodity/Product,0.4,4866.37,93976
Benton,11/1/2021,Inhalable Product with Non-Cannabis Additives,5.04,60472.6,93976
Benton,11/1/2021,Other,4.17,48296.94,93976
Benton,11/1/2021,Usable MJ,50.2,458513.55,93976
Benton,1/1/2017,Concentrate/Extract,21.95,183368.19,93976
Benton,1/1/2017,Edible/Tincture,5.09,42208.86,93976
Benton,1/1/2017,Other,1.13,9173.53,93976
Benton,1/1/2017,Usable MJ,71.83,643504.35,93976
Benton,1/1/2018,Concentrate/Extract,26.74,188603.46,93976
Benton,1/1/2018,Edible/Tincture,9.11,69662.63,93976
Benton,1/1/2018,Other,1.53,10795.88,93976
Benton,1/1/2018,Usable MJ,62.63,479429.45,93976
Benton,1/1/2019,Concentrate/Extract,29.7,233998.97,93976
Benton,1/1/2019,Edible/Tincture,10.46,87066.6,93976
Benton,1/1/2019,Industrial Hemp Commodity/Product,1.13,9105.64,93976
Benton,1/1/2019,Other,8.27,66452.01,93976
Benton,1/1/2019,Usable MJ,50.43,414768.29,93976
Benton,1/1/2020,Concentrate/Extract,26.52,245644.59,93976
Benton,1/1/2020,Edible/Tincture,10.32,97501.37,93976
Benton,1/1/2020,Industrial Hemp Commodity/Product,0.38,3405.89,93976
Benton,1/1/2020,Other,4.67,43576.94,93976
Benton,1/1/2020,Usable MJ,58.1,461912.09,93976
Benton,1/1/2021,Concentrate/Extract,28.75,352976.67,93976
Benton,1/1/2021,Edible/Tincture,11.61,146242.45,93976
Benton,1/1/2021,Industrial Hemp Commodity/Product,0.27,3493.2,93976
Benton,1/1/2021,Other,4.57,55357.55,93976
Benton,1/1/2021,Usable MJ,54.81,568367.13,93976
Benton,1/1/2022,Concentrate/Extract,26.19,306529.19,93976
Benton,1/1/2022,Edible/Tincture,14.28,167451.57,93976
Benton,1/1/2022,Industrial Hemp Commodity/Product,0.57,6677.91,93976
Benton,1/1/2022,Inhalable Product with Non-Cannabis Additives,5.16,61964.12,93976
Benton,1/1/2022,Other,4.28,49490.51,93976
Benton,1/1/2022,Usable MJ,49.52,465418.56,93976
Benton,12/1/2017,Concentrate/Extract,27.95,188083.8,93976
Benton,12/1/2017,Edible/Tincture,9.77,72414.78,93976
Benton,12/1/2017,Other,1.71,10605.74,93976
Benton,12/1/2017,Usable MJ,60.57,447070.03,93976
Benton,12/1/2018,Concentrate/Extract,28.41,209903.52,93976
Benton,12/1/2018,Edible/Tincture,12.03,94503.34,93976
Benton,12/1/2018,Industrial Hemp Commodity/Product,1.29,9504.58,93976
Benton,12/1/2018,Other,9.04,70592.85,93976
Benton,12/1/2018,Usable MJ,49.23,388636.93,93976
Benton,12/1/2019,Concentrate/Extract,27.5,232791.79,93976
Benton,12/1/2019,Edible/Tincture,10.96,95601.99,93976
Benton,12/1/2019,Industrial Hemp Commodity/Product,0.68,6069.47,93976
Benton,12/1/2019,Other,4.14,35911.75,93976
Benton,12/1/2019,Usable MJ,56.72,416836.49,93976
Benton,12/1/2020,Concentrate/Extract,27.98,310039.88,93976
Benton,12/1/2020,Edible/Tincture,11.93,134298.42,93976
Benton,12/1/2020,Industrial Hemp Commodity/Product,0.34,3814.44,93976
Benton,12/1/2020,Other,5.23,58026.56,93976
Benton,12/1/2020,Usable MJ,54.51,505624.46,93976
Benton,12/1/2021,Concentrate/Extract,26.57,306981.07,93976
Benton,12/1/2021,Edible/Tincture,14.85,172383.43,93976
Benton,12/1/2021,Industrial Hemp Commodity/Product,0.46,5417.31,93976
Benton,12/1/2021,Inhalable Product with Non-Cannabis Additives,5.08,60571.31,93976
Benton,12/1/2021,Other,4.02,46428.47,93976
Benton,12/1/2021,Usable MJ,49.02,442798.97,93976
Benton,2/1/2017,Concentrate/Extract,22.26,176461.88,93976
Benton,2/1/2017,Edible/Tincture,5.44,42337.25,93976
Benton,2/1/2017,Other,0.79,6043.27,93976
Benton,2/1/2017,Usable MJ,71.51,600891.64,93976
Benton,2/1/2018,Concentrate/Extract,27.21,184882.25,93976
